	System-Id	WM1	WM2	distance	drug-offset-end	drug-offset-start	relType	sideEffect-offset-end	sideEffect-offset-start	Sentence
0	000110b4-7439-4e2c-8000-000559a68510	rituxin	went well		43	36	positive	63	54	i'm happy to hear your mom's first rituxin treatment went well and that she had great nurses.
1	000194cf-4c3d-49f0-8000-000547ff9900	taxotere	my hair started growing back		104	96	positive	88	60	my hair started growing back during taxotere,too.
2	0001ea02-41af-4286-8000-0007bcfd2484	taxol	so far no problems		211	206	positive	293	275	not quite half through with my 12 weeklies, but so far no problems on the taxol.
3	00021d15-dca9-42f3-8000-005c8e92fd49	taxol	so far so good		478	473	positive	540	526	chemo is always so scarey at the start, because we all react differently, i actually was wanting my onc to keep me on fec, rather than start the taxol, because i had heard such horrible things; but so far so good on the taxol.
4	00046a48-4c96-4f84-8000-0193e1055610	herceptin	it seemed to help		6237	6228	positive	6220	6203	it seemed to help us get herceptin on the pbs and i am thankful for that.
8	000627a7-2f27-4438-8000-00500316a240	herceptin	miracle drug		472	463	positive	462	450	being her2 positive means agressive but there is the miracle drug herceptin for it .
9	00066eb9-c8cb-4cc4-8000-0048af65cf79	tamoxifen	work better		99	90	positive	362	351	i was on state medical insurance, but now they say i make too much, so i am without coverage, anyway, the oncoligist told me about a booster shot that will help the tamoxifen work better.
9	00066eb9-c8cb-4cc4-8000-0048af65cf79	tamoxifen	work better		99	90	positive	362	351	what i am looking for is maybe something herbal or natural that i can take with the tamoxifen to help it work better.
11	0006ce70-5054-41a4-8000-0061d8ef7690	herceptin	work better		225	216	positive	471	460	they said for me, the most important thing was herceptin, and it had been shown to work better when mixed with some chemo.
14	000743b6-34c1-4be1-8000-006f762ffc99	adryinmycin	much better		641	630	positive	624	613	but i will tell you, it is much better than adryinmycin and cytoxan that's for sure!!!
15	000743b6-34c1-4be1-8000-006f762ffc99	cytoxa	much better		652	646	positive	624	613	but i will tell you, it is much better than adryinmycin and cytoxan that's for sure!!!
16	000763ee-4bd7-498a-8000-00735b72fac4	herceptin	doing great		424	415	positive	465	454	she got early herceptin and bilat mx ac/taxol and is doing great today.
17	000763ee-4bd7-498a-8000-00735b72fac4	taxol	doing great		446	441	positive	465	454	she got early herceptin and bilat mx ac/taxol and is doing great today.
19	00081ee5-887a-40e0-8000-09b0f6802f90	taxol	i had no side effects		34	29	positive	221	200	took a while for the side effects of the taxol to go away but once they subsided i had no side effects from the herceptin.
20	00081ee5-887a-40e0-8000-09b0f6802f90	herceptin	i had no side effects		82	73	positive	221	200	took a while for the side effects of the taxol to go away but once they subsided i had no side effects from the herceptin.
21	0009d3b8-10fa-4210-8000-0e311c96f224	xeloda	it seems to be working		47	41	positive	79	57	right now i am on the xeloda pill and it seems to be working.
22	0009ec9a-8641-4660-8000-0e795791cb10	herceptin	doing fine		536	527	positive	714	704	she's doing fine and continues with her herceptin treatments
24	000a289d-301f-4e47-8000-00d9f6f3ab09	tamoxifen	much better		962	953	positive	1034	1023	also, since i've stopped the tamoxifen (had to 3 weeks prior to my op), my morning joint pains are much better.
26	000af09e-337d-44a0-8000-008a810015c4	gemzar	it was ok		588	582	positive	563	554	we did check with the oncology department and asked if it was ok when he was doing gemzar/carboplatin as you do have to watch any extra supplements that you use when doing chemo.
27	000af09e-337d-44a0-8000-008a810015c4	carboplatin	it was ok		600	589	positive	563	554	we did check with the oncology department and asked if it was ok when he was doing gemzar/carboplatin as you do have to watch any extra supplements that you use when doing chemo.
28	001388bd-5522-4881-8000-0325f0a93fd9	xeloda	works well		287	281	positive	298	288	i hope the xeloda works well for her & she too gets a break from chemo soon.
29	0015b527-9e5f-4e62-8000-08adb7c02fe4	rituxan	it is working		229	222	positive	429	416	my dad has had rituxan-bendamustine, r-chop, a treatment for cns lymphoma, while brain radiation, and he's now in his 4th line treatment for secondary pulmonary lymphoma; he's taking cisplatin-gemcitibine and it is working.
30	0015b527-9e5f-4e62-8000-08adb7c02fe4	bendamustine	it is working		242	230	positive	429	416	my dad has had rituxan-bendamustine, r-chop, a treatment for cns lymphoma, while brain radiation, and he's now in his 4th line treatment for secondary pulmonary lymphoma; he's taking cisplatin-gemcitibine and it is working.
